Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,gool-oign,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koloin,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koolloiin,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,kalloin,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koloin,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,kooloying,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koomongmorang,black man,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maarr,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,mhara,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maahr,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,mar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,mara,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marra,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maara,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maara,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marra,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marah,blackfellow,mar,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,murtee-gooloin,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,gool-oign,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koloin,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koolloiin,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,kalloin,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koloin,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,kooloying,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koomongmorang,blackfellow,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maarr,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,mhara,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maahr,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marr,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,mar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,mara,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marra,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maar,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maara,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,maara,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marra,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,marr,Aborigine,178,N,marah,blacks,mar,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,murtee-gooloin,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,gool-oign,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koloin,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koolloiin,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,kalloin,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koloin,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,kooloying,blacks,koːlojn,PERSON
Keerraywoorroong,Keerraywoorroong,kooloyn,Aborigine,178,N,koomongmorang,blacks,koːlojn,PERSON
Boonwerong,Boonwurrung,King.gin.bil,Aborigine,178,,King.gin.bil,Black Man,King.gin.bil,PERSON
Boonwerong,Boonwurrung,Lay.wor.oke,Aborigine,178,,Lay.wor.oke,Black Woman,Laj.woɹ.oke,PERSON
Boonwerong,Boonwurrung,Kre.il,Aborigine,178,,Kre.il,Wild Black,Kɹe.il,PERSON
Yass,Ngunawal,Murrin,Aborigine,178,,Murrin,Black Man,Murin,PERSON
Yass,Ngunawal,Boolandul,Aborigine,178,,Boolandul,Black Woman,Boːlandul,PERSON
Yass,Ngunawal,Moungbe,Aborigine,178,,Moungbe,Wild Black,Moungbe,PERSON
Manning River,Birrpayi,,Aborigine,178,,koori,the blacks,,
Hunter River,Wonnarua,,Aborigine,178,,-,the blacks,,
Katthang,Katthang,kuri,Aborigine,178,,guri,Aboriginal person,kuɹi,
Katthang,Katthang,puttyuŋkan,Aborigine,178,,butjunggan,black woman,putcuŋkan,
Katthang,Katthang,puttyuŋkan,Aborigine,178,,butjunggan,black woman,putcuŋkan,
Yabula-Yabula,Yabula-Yabula,bawu ,Aborigine,178,N,,,,
Yabula-Yabula,Yabula-Yabula,bawul ,Aborigine,178,N,,,,
Wadi-Wadi (Swan Hill),Wadi-wadi,puRinya,alive,1413,Adj,puRinya,Alive,puRiɲa,BE ALIVE
Wemba-Baraba,Baraba Baraba,murreta,alive,1413,Adj,murreta,Alive,mureta,BE ALIVE
Wemba-Baraba,Baraba Baraba,muRun,alive,1413,Adj,muRun,Alive,muRun,BE ALIVE
Wathawurrung,Wathawurrung,murrun,alive,1413,Adj,murrun,alive,murun,BE ALIVE
Woiwurrung,Woiwurrung,murron,alive,1413,Adj,murron,alive,muron,BE ALIVE
Sydney,Dharuk,mutuŋ,alive,1413,Adj,mudung,alive,mutuŋ,BE ALIVE
Katthang,Katthang,gir-ru,alive,1413,Adj,Gir-ru,alive,giɹ-ɹu,BE ALIVE
Buwandik,Buwandik,[see 'living'],alive,1413,Adj,[see ‘living’],alive,[seː 'living'],BE ALIVE
Buwandik,Buwandik,yuli,alive,1413,Adj,yuli,living,juli,BE ALIVE
Buwandik,Buwandik,luman,alive,1413,Adj,luman,living,luman,BE ALIVE
Darkinyung,Darkinyung,mutaŋ,alive,1413,Adj,mudang,alive,mutaŋ,BE ALIVE
Port MacQuarie,Birrpayi,baleambo,alive,1413,Adj,baleambo,living,baleambo,BE ALIVE
Port MacQuarie,Birrpayi,balcambo,alive,1413,Adj,balcambo,living,balcambo,BE ALIVE
Dharuk,Dharuk,mu-dhung,alive,1413,Adj,mu-dhung,alive,mu-d̪ung,BE ALIVE
BB,Iyora,mu-dang,alive,1413,Adj,mu-dang,alive,mu-dang,BE ALIVE
BB,Iyora,ma-dång,alive,1413,Adj,ma-dång,alive,ma-dång,BE ALIVE
NrN,NrN (Steele Source),marun,alive,1413,Adj,marun,alive,maɹun,BE ALIVE
Darkinyung,Darkinyung,mudung,alive,1413,Adj,mudung,alive,mudung,BE ALIVE
Gdg,Katthang,gírru,alive,1413,Adj,gírru,alive,gíru,BE ALIVE
Darkinyung,Darkinyung,muddang,alive,1413,Adj,muddang,alive,muddang,BE ALIVE
Awabakal,Awabakal,mårån ga-dí-yaga-nan,alive,1413,Adj,mårån ga-dí-yaga-nan,alive be again will,måɹån ga-dí-jaga-nan,BE ALIVE
Awabakal,Awabakal,didi-ga-gala nuwa,alive,1413,Adj,"didi-ga-gala nuwa, wåndu ba yagida mårån nuwa ga-di-yaga-n",dead be be-was he / perhaps do now alive he be DECL again,didi-ga-gala nuwa,BE ALIVE
Awabakal,Awabakal,mårån,alive,1413,Adj,mårån,alive,måɹån,BE ALIVE
Awabakal,Awabakal,mårån nuwa ga-dá-n,alive,1413,Adj,mårån nuwa ga-dá-n,"alive, he is",måɹån nuwa ga-dá-n,BE ALIVE
Awabakal,Awabakal,mårån ba,alive,1413,Adj,mårån ba,"alive, is",måɹån ba,BE ALIVE
Awabakal,Awabakal,mårån ga-gi-li-gu,alive,1413,Adj,mårån ga-gi-li-gu,alive be-be-ing,måɹån ga-gi-li-gu,BE ALIVE
Awabakal,Awabakal,mårån-gan da,alive,1413,Adj,mårån-gan da,alive person DECL,måɹån-gan da,BE ALIVE
Awabakal,Awabakal,mårån gå-nan,alive,1413,Adj,mårån gå-nan,alive be will,måɹån gå-nan,BE ALIVE
Awabakal,Awabakal,mårån ga-dá-n,alive,1413,Adj,mårån ga-dá-n,alive DECL,måɹån ga-dá-n,BE ALIVE
Awabakal,Awabakal,mårån-guwa ga-dí-yaga-n,alive,1413,Adj,mårån-guwa ga-dí-yaga-n,alive-having be again,måɹån-guwa ga-dí-jaga-n,BE ALIVE
Awabakal,Awabakal,mårån da ga-dí-yaga-nan,alive,1413,Adj,mårån da ga-dí-yaga-nan,alive DECL be again will,måɹån da ga-dí-jaga-nan,BE ALIVE
Awabakal,Awabakal,mårån din ga-dá-n,alive,1413,Adj,mårån din ga-dá-n,alive because be DECL,måɹån din ga-dá-n,BE ALIVE
Awabakal,Awabakal,mårån,alive,1413,Adj,mårån,alive,måɹån,BE ALIVE
Awabakal,Awabakal,mårån nuwa ga-gi-li-nan didi gåri-yin,alive,1413,Adj,mårån nuwa ga-gi-li-nan didi gåri-yin,"alive he be-being will, dead lacking",måɹån nuwa ga-gi-li-nan didi gåɹi-jin,BE ALIVE
Awabakal,Awabakal,mårån bån ga-manbi-la,alive,1413,Adj,mårån bån ga-manbi-la,alive him be permit,måɹån bån ga-manbi-la,BE ALIVE
Awabakal,Awabakal,ngan-du diya mårån umá-nan?,alive,1413,Adj,ngan-du diya mårån umá-nan?,who me alive make will,ngan-du dija måɹån umá-nan?,BE ALIVE
Awabakal,Awabakal,mårån,alive,1413,Adj,mårån,alive,måɹån,BE ALIVE
Gundungurra,Gundungurra,murun-ga gadum-ba,alive,1413,Adj,murun-Ga Gadum-ba,alive Kadumba,muɹun-ga gadum-ba,BE ALIVE
Gga/Ngwl,Ngunawal,mulang-Gari,alive,1413,Adj,mulang-Gari,alive,mulang-Gaɹi,BE ALIVE
Dharawal,Dharawal,murangala,alive,1413,Adj,murangala,alive,muɹangala,BE ALIVE
Ngarigo,Ngarigu,gabugudyan,alive,1413,Adj,gabugudyan,alive,gabuguɟan,BE ALIVE
Wodi-Wodi,Dharawal,murangalla,alive,1413,Adj,murangalla,alive,muɹangalla,BE ALIVE
Wodi-Wodi,Dharawal,murangalla,alive,1413,Adj,murangalla,alive,muɹangalla,BE ALIVE
Dhurga,Dhurga,maråwan,alive,1413,Adj,maråwan,alive,maɹåwan,BE ALIVE
Dharuk,Dharuk,muthung,alive,1413,Adj,muthung,alive,mut̪ung,BE ALIVE
Ngaiawang,Ngayawang,mangungko,alive,1413,Adj,mangungko,alive,mangungko,BE ALIVE
Ngaiawang,Ngayawang,mangungko,alive,1413,Adj,mangungko,living,mangungko,BE ALIVE
Ngaiawang,Ngayawang,p@pun,alive,1413,Adj,p@pun,to make alive,p@pun,BE ALIVE
Ngarrindjeri,Ngarrindjeri,tambi,alive,1413,Adj,tambi,alive,tambi,BE ALIVE
Ngarrindjeri,Ngarrindjeri,tumbe,alive,1413,Adj,tumbe,living,tumbe,BE ALIVE
Ngarrindjeri,Ngarrindjeri,tumbe,alive,1413,Adj,tumbe,alive,tumbe,BE ALIVE
Ngarrindjeri,Ngarrindjeri,tumbewallin,alive,1413,Adj,tumbewallin,alive,tumbewallin,BE ALIVE
Wathawurrung,Wathawurrung,murrun,alive,1413,Adj,murrun,alive,murun,BE ALIVE
Tyattyalla,Djadjala,murun,alive,1413,Adj,murun,alive,muɹun,BE ALIVE
Keerraywoorroong,Keerraywoorroong,poontyan,alive,1413,Adj,pondean,alive,poːncan,BE ALIVE
Keerraywoorroong,Keerraywoorroong,poontyan,alive,1413,Adj,boandian,alive,poːncan,BE ALIVE
Thanggatti,Thanggati,murun,alive,1413,,murun,alive,muɹun,BE ALIVE
Awabakal,Awabakal,wåndu ba yagida mårån nuwa ga-di-yaga-n,alive,1413,Adj,"didi-ga-gala nuwa, wåndu ba yagida mårån nuwa ga-di-yaga-n",dead be be-was he / perhaps do now alive he be DECL again,wåndu ba jagida måɹån nuwa ga-di-jaga-n,BE ALIVE
Kutthung,Katthang,,alive,1413,,Gir-ru ,alive,,BE ALIVE
Kutthung,Katthang,kír-ru,alive,1413,,gír-ru,alive,kíɹ-ɹu,
Woiwurrung,Woiwurrung,murron,alive,1413,,murron,alive,muron,
Yaraldi,Yaraldi,"markulti (mey),",alive,1413,,"markuldi (Mey),",alive,"maɹkulti (mey),",
Katthang,Katthang,paliyaŋpu; kirraŋ,alive,1413,,baliyangbu; girrang,alive,paliyaŋpu; kiraŋ,
Dhudhuroa,Dhudhuroa,murrpuwa,alive,1413,,murrbuwa,alive,murpuwa,
Yabula-Yabula,Yabula-Yabula,dhoroang ,alive,1413,N,,,,
Dhudhuroa,Dhudhuroa,murrbuwa,alive,1413,,murrbuwa,alive,murpuwa,
Narinari,Nari Nari,yudi,animal meat,512,N,yudi,meat,judi,FLESH OR MEAT
Woiwurrung,Woiwurrung,wiŋkarram,animal meat,512,N,winggarram,meat,wiŋkaram,FLESH OR MEAT
Katthang,Katthang,Buk-u-i,animal meat,512,N,Buk-oo-ee,meat,Buk-u-i,FLESH OR MEAT
DgR,Thanggati,minya,animal meat,512,SONGLINE,minya,"animal, edible",miɲa,FLESH OR MEAT
BB,Iyora,nga-rrun,animal meat,512,N,nga-rrun,meat,nga-run,FLESH OR MEAT
BB,Iyora,dammul,animal meat,512,N,dammul,meat,dammul,FLESH OR MEAT
BB,Iyora,dyaŋú-ra,animal meat,512,N,dyaŋú-ra,meat,ɟaŋú-ɹa,FLESH OR MEAT
Birrpayi,Birrpayi,ba guwi,animal meat,512,N,ba guwi,meat,ba guwi,FLESH OR MEAT
Dharawal,Dharawal,murnai,animal meat,512,N,murnai,meat,muɳai,FLESH OR MEAT
Ngarigo,Ngarigu,naŋali,animal meat,512,N,naŋali,meat,naŋali,FLESH OR MEAT
Dharawal,Dharawal,murnai,animal meat,512,N,murnai,meat,muɳai,FLESH OR MEAT
[Dwl?],Dharawal,murnai,animal meat,512,N,murnai,meat,muɳai,FLESH OR MEAT
DYRGN,Dhurga,mandadya,animal meat,512,N,mandadya,meat,mandaɟa,FLESH OR MEAT
DYRGN,Dhurga,måndagai,animal meat,512,N,måndagai,meat,måndagai,FLESH OR MEAT
Wembawemba,Wemba-Wemba,peŋkuk,animal meat,512,,beŋgug,meat (its body),peŋkuk,FLESH OR MEAT
Ngarigu,Ngarigu,ngali,animal meat,512,N,ngali,meat,ngali,FLESH OR MEAT
Ngarrindjeri,Ngarrindjeri,mrnewarndi,animal meat,512,N,mrnewarndi,meat,mɳewaɳdi,FLESH OR MEAT
Ngarrindjeri,Ngarrindjeri,mure:wunthi,animal meat,512,N,mure:wunthi,meat,muɹeːwunt̪i,FLESH OR MEAT
Ngarrindjeri,Ngarrindjeri,ŋalthi,animal meat,512,N,ngalthi,meat,ŋalt̪i,FLESH OR MEAT
Yitha-Yitha,Yitha-Yitha,yarsey,animal meat,512,N,"yar<s>ey, nul",meat,jaɹsej,FLESH OR MEAT
Madhi-Madhi,Mathi-Mathi,thiti,animal meat,512,N,dhidi,meat,t̪iti,FLESH OR MEAT
Madhi-Madhi,Mathi-Mathi,marntu,animal meat,512,N,marndu,meat,maɳtu,FLESH OR MEAT
Wemba-Wemba,Wemba-Wemba,peŋkuk,animal meat,512,N,pengguk,meat (its body),peŋkuk,FLESH OR MEAT
Gandangara,Gundungurra,ngali,animal meat,512,N,ngali,meat,ngali,FLESH OR MEAT
Ngunawal,Ngunawal,ngali,animal meat,512,N,ngali,meat,ngali,FLESH OR MEAT
Ngarigu,Ngarigu,ngali,animal meat,512,N,"ngali, ngalV",meat,ngali,FLESH OR MEAT
The Canberra Language,Ngunawal,ŋali,animal meat,512,N,ngali,meat,ŋali,FLESH OR MEAT
Dharawal,Dharawal,man(t)ityaŋ,animal meat,512,N,man(d)ijang,meat,man(t)icaŋ,FLESH OR MEAT
Dharawal,Dharawal,man(t)itya(ŋ),animal meat,512,N,man(d)ija(ng),meat,man(t)ica(ŋ),FLESH OR MEAT
Dharawal,Dharawal,ŋali,animal meat,512,N,ngali,meat,ŋali,FLESH OR MEAT
Dhurga,Dhurga,man(t)itya,animal meat,512,N,man(d)ija,meat,man(t)ica,FLESH OR MEAT
Dhurga,Dhurga,man(t)itya(ŋ),animal meat,512,N,man(d)ija(ng),meat,man(t)ica(ŋ),FLESH OR MEAT
Dhurga,Dhurga,ŋali,animal meat,512,N,ngali,meat,ŋali,FLESH OR MEAT
Thawa,Thawa,mantitya,animal meat,512,N,mandidya,meat,mantica,FLESH OR MEAT
Jiringayn,Djirringany,manitya,animal meat,512,N,manidya,meat,manica,FLESH OR MEAT
Dhurga,Dhurga,ngali,animal meat,512,N,ngali,meat,ngali,FLESH OR MEAT
Dhurga,Dhurga,mantitya,animal meat,512,N,mandidja,meat,mantica,FLESH OR MEAT
Dharumba,Dharawal,man(t)itya,animal meat,512,N,"mandidja, manidja",meat,man(t)ica,FLESH OR MEAT
Dharawal,Dharawal,ngali,animal meat,512,N,ngali,meat,ngali,FLESH OR MEAT
Dharawal,Dharawal,mani,animal meat,512,N,mani,meat,mani,FLESH OR MEAT
Dharawal,Dharawal,marnya,animal meat,512,N,marnja,meat,maɳja,FLESH OR MEAT
Warrnambool,Warrnambool,kaŋ,animal meat,512,N,kang,meat,kaŋ,FLESH OR MEAT
Warrnambool,Warrnambool,kayanam,animal meat,512,N,kayanam,meat,kajanam,FLESH OR MEAT
Warrnambool,Warrnambool,payl,animal meat,512,N,payl,meat,pajl,FLESH OR MEAT
Warrnambool,Warrnambool,thammon,animal meat,512,N,thammon,meat,t̪ammon,FLESH OR MEAT
Narinari,Nari Nari,yudi,animal meat,512,N,yudi,meat,judi,FLESH OR MEAT
Southern Ngarigu,Ngarigu,nali,animal meat,512,,nali,meat,nali,FLESH OR MEAT
Dhurga,Dhurga,man(t)itya,animal meat,512,N,man(d)iᶁa,meat,man(t)ica,FLESH OR MEAT
Dhurga,Dhurga,man(t)itya(ŋ),animal meat,512,N,man(d)iᶁa(ŋ),meat,man(t)ica(ŋ),FLESH OR MEAT
Dhurga,Dhurga,ŋali,animal meat,512,N,ŋali,meat,ŋali,FLESH OR MEAT
Dhurga,Dhurga,flæps,animal meat,512,N,flæps,meat,flæps,FLESH OR MEAT
Dharawal,Dharawal,man(t)ityaŋ,animal meat,512,N,man(d)iᶁaŋ,meat,man(t)icaŋ,FLESH OR MEAT
Dharawal,Dharawal,man(t)itya(ŋ),animal meat,512,N,man(d)iᶁa(ŋ),meat,man(t)ica(ŋ),FLESH OR MEAT
Dharawal,Dharawal,ŋali,animal meat,512,N,ŋali,meat,ŋali,FLESH OR MEAT
Dharawal,Dharawal,flæps,animal meat,512,N,flæps,meat,flæps,FLESH OR MEAT
Keerraywoorroong,Keerraywoorroong,kang,animal meat,512,N,karng,meat,kang,FLESH OR MEAT
Keerraywoorroong,Keerraywoorroong,kang,animal meat,512,N,kyer num,meat,kang,FLESH OR MEAT
Keerraywoorroong,Keerraywoorroong,peel,animal meat,512,N,bile,meat,peːl,FLESH OR MEAT
Yitha-Yitha,Yitha-Yitha,nul,animal meat,512,N,"yar<s>ey, nul",meat,nul,FLESH OR MEAT
Ngarigu,Ngarigu,ngalV,animal meat,512,N,"ngali, ngalV",meat,ngalV,FLESH OR MEAT
Boonwerong,Boonwurrung,bulganner,animal meat,512,,bulganner,meat,bulganneɹ,FLESH OR MEAT
Kutthung,Katthang,,animal meat,512,,Buk-oo-ee ,meat,,FLESH OR MEAT
Wergaia,Werkaya,yauirr,animal meat,512,,yauir,meat,yauir,
Kutthung,Katthang,puk-oo-ee,animal meat,512,,buk-oo-ee,meat,puk-oː-eː,
Narinari,Nari Nari,,animal meat,512,,yudi,meat,,
Guṇḍidj,Gunditjmara,,animal meat,512,,d_amon,meat,,
Guṇḍidj,Gunditjmara,,animal meat,512,,mad_al,meat,,
Southern Ngarigu,Ngarigu,,animal meat,512,,ngali,meat,,
Ngarigu,Ngarigu,"ŋali, ŋalv",animal meat,512,,"ngali, ngalV",meat,"ŋali, ŋalv",
Ngunawal,Ngunawal,ŋali,animal meat,512,,ngali,meat,ŋali,
Woiwurrung,Woiwurrung,wiŋkarram,animal meat,512,,winggarram,meat,wiŋkaram,
Yitha-Yitha,Yitha-Yitha,,animal meat,512,,,meat,,
Katthang,Katthang,pakuwi,animal meat,512,,bakuwi,meat,pakuwi,
Dhudhuroa,Dhudhuroa,baminba,animal meat,512,N,baminba,meat,baminba,FLESH OR MEAT
Dhudhuroa,Dhudhuroa,paminpa,animal meat,512,,baminba,meat,paminpa,
Dhudhuroa,Dhudhuroa,baminba,animal meat,512,N,baminba,meat,baminba,FLESH OR MEAT
Dhudhuroa,Dhudhuroa,baminba,animal meat,512,,baminba,meat,paminpa,
Wathawurrung,Wathawurrung,dyerrin,ankle,128,N,djerrin?,ankle,ɟerin,ANKLE
Wathawurrung,Wathawurrung,gerrin,ankle,128,N,gerrin?,ankle,gerin,ANKLE
Wathawurrung,Wathawurrung,barn,ankle,128,N,barn,ankle,baɳ,ANKLE
Bunganditj,Buwandik,kan-kan-parnu,ankle,128,N,kan-kan-parnu,ankle,kan-kan-paɳu,ANKLE
Warrnambool,Warrnambool,parn,ankle,128,N,parn,ankle,paɳ,ANKLE
Wathawurrung,Wathawurrung,wart-i dyinaŋ,ankle,128,N,wart-i djinang,back of foot,waʈ-i ɟinaŋ,ANKLE
Woiwurrung,Woiwurrung,turroŋki kanak,ankle,128,N,durronggi ganak,ankle,turoŋki kanak,ANKLE
Buwandik,Buwandik,gan-gan-barnu,ankle,128,N,gan-gan-barnu,ankle,gan-gan-baɳu,ANKLE
Thoerwel,Dharawal,wuhluh,ankle,128,N,wuhluh,ankle,wuhluh,ANKLE
Port MacQuarie,Birrpayi,combo,ankle,128,N,combo,ankle,combo,ANKLE
DgR,Thanggati,wa-da wa-da,ankle,128,N,wa-da wa-da,ankle,wa-da wa-da,ANKLE
DG?,Dharuk,wa-da wa-da,ankle,128,N,wa-da wa-da,ankle,wa-da wa-da,ANKLE
DG?,Dharuk,ma-gan,ankle,128,noun,ma-gan,ankle [?],ma-gan,ANKLE
LD,Awabakal,wiranGung,ankle,128,N,wiranGung,ankle,wiɹanGung,ANKLE
Awabakal,Awabakal,wirung-Gáng,ankle,128,N,wirung-Gáng,ankle,wiɹung-Gáng,ANKLE
Birrpayi,Birrpayi,gumbu,ankle,128,N,gumbu,ankle,gumbu,ANKLE
Wonarua,Wonnarua,wayingur,ankle,128,N,wayingur,ankle,wajinguɹ,ANKLE
Gundungurra,Gundungurra,wadda wadda,ankle,128,N,wadda wadda,ankle,wadda wadda,ANKLE
Dharawal,Dharawal,wadda-wadda,ankle,128,N,wadda-wadda,ankle,wadda-wadda,ANKLE
Wodi-Wodi,Dharawal,wada-wada,ankle,128,N,wada-wada,ankle,wada-wada,ANKLE
DWL?,Dharawal,Watta Watta,ankle,128,N,Watta Watta,ankle,Watta Watta,ANKLE
Ngaiawang,Ngayawang,tundongko,ankle,128,N,tundongko,ankle bone,tundongko,ANKLE
Ngarrindjeri,Ngarrindjeri,tuŋe,ankle,128,N,tunge,ankle,tuŋe,ANKLE
Ngarrindjeri,Ngarrindjeri,tuŋke,ankle,128,N,tungge,ankle,tuŋke,ANKLE
Wathawurrung,Wathawurrung,djerrin gerrin,ankle,128,N,djerrin? gerrin?,ankle,cerin gerin,ANKLE
Wathawurrung,Wathawurrung,barn,ankle,128,N,barn,ankle,baɳ,ANKLE
Colac,Kolakngat,barn gnen nok (tu),ankle,128,N,barn gnen nok (tu),ankle,baɳ gnen nok (tu),ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,parn,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,parn,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,purn,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,pole nart,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,polong,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,po'ol neen,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,brin,"ankle, joint of ankle",paɹɳ,ANKLE
Keerraywoorroong,Keerraywoorroong,parrn,ankle,128,N,karnungin,"ankle, joint of ankle",paɹɳ,ANKLE
Chap Wuruong,Tjapwurrung,puulin,ankle,128,,puulin,ankle,puːlin,ANKLE
Kuurn kopan noot,Gunditjmara,parn,ankle,128,,parn,ankle,paɳ,ANKLE
Peek whuurong,Pikwurrung,parn,ankle,128,,parn,ankle,paɳ,ANKLE
